Year,College,MajorName,Total,Male,Female,Unknown
2018,ACES,Food Science & Human Nutrition,135,38,97,0
2018,ACES,Food Science & Human Nutrition,68,16,52,0
2018,ACES,Food Science & Human Nutrition,76,4,72,0
2018,ACES,Food Science & Human Nutrition,54,25,29,0
2018,ACES,Food Science & Human Nutrition,55,15,40,0
2018,ACES,Food Science & Human Nutrition,20,12,8,0
2018,ACES,Food Science & Human Nutrition,15,3,12,0
2018,ACES,Food Science & Human Nutrition,12,2,10,0
2018,ACES,Food Science & Human Nutrition,31,13,18,0
2018,ACES,Food Science & Human Nutrition,14,2,12,0
2018,ACES,Horticulture,1,0,1,0
2018,ACES,Horticulture,2,1,1,0
2018,ACES,Human & Community Development,1,0,1,0
2018,ACES,Human Development & Family St,179,15,163,1
2018,ACES,Human Development & Family St,56,5,51,0
2018,ACES,Human Development & Family St,18,2,16,0
2018,ACES,Human Dvlpmt & Family Studies,24,1,23,0
2018,ACES,Natural Res & Env Sciences,47,22,25,0
2018,ACES,Natural Res & Env Sciences,31,12,19,0
2018,ACES,Natural Res & Env Sciences,40,24,16,0
2018,ACES,Natural Resrcs & Environ Sci,59,22,37,0
2018,ACES,Natural Resrcs & Environ Sci,42,26,16,0
2018,ACES,Natural Resrcs & Environ Sci,2,1,1,0
2018,ACES,Natural Resrcs & Environ Sci,50,15,35,0
2018,ACES,Natural Resrcs & Environ Sci,68,30,38,0
2018,ACES,Natural Resrcs & Environ Sci,20,4,16,0
2018,ACES,Nondegree,81,40,41,0
2018,ACES,Nutritional Sciences,15,5,10,0
2018,ACES,Nutritional Sciences,26,5,21,0
2018,Applied Health Sciences,Audiology,26,2,23,1
2018,Applied Health Sciences,Community Health,198,65,133,0
2018,Applied Health Sciences,Community Health,105,18,87,0
2018,Applied Health Sciences,Community Health,261,64,197,0
2018,Applied Health Sciences,Community Health,44,5,39,0
2018,Applied Health Sciences,Community Health,22,3,19,0
2018,Applied Health Sciences,Community Health,26,5,21,0
2018,Applied Health Sciences,Interdisciplinary Health Sci,101,20,81,0
2018,Applied Health Sciences,Interdisciplinary Health Sci,46,12,34,0
2018,Applied Health Sciences,Interdisciplinary Health Sci,95,18,77,0
2018,Applied Health Sciences,Interdisciplinary Health Sci,86,10,76,0
2018,Applied Health Sciences,Kinesiology,550,249,301,0
2018,Applied Health Sciences,Kinesiology,14,2,12,0
2018,Applied Health Sciences,Kinesiology,18,6,12,0
2018,Applied Health Sciences,Kinesiology,52,29,23,0
2018,Applied Health Sciences,Nondegree,31,15,16,0
2018,Applied Health Sciences,Nondegree,7,1,6,0
2018,Applied Health Sciences,Public Health,20,4,16,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",32,26,6,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",18,7,11,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",28,13,15,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",187,142,45,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",31,21,10,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",28,15,13,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",3,3,0,0
2018,Applied Health Sciences,"Recreation, Sport, and Tourism ",32,16,16,0
2018,Applied Health Sciences,Speech & Hearing Science,62,3,59,0
2018,Applied Health Sciences,Speech & Hearing Science,14,0,14,0
2018,Applied Health Sciences,Speech & Hearing Science,11,3,8,0
2018,Applied Health Sciences,Speech & Hearing Science,146,3,143,0
2018,Applied Health Sciences,Speech & Hearing Science,9,1,8,0
2018,Applied Health Sciences,Speech & Hearing Science,47,3,44,0
2018,Applied Health Sciences,Speech & Hearing Science,9,1,8,0
2018,Business,Business Administration,55,20,33,2
2018,Business,Business Administration,40,21,19,0
2018,Business,Business Administration (MBA),92,61,31,0
2018,Business,Business Administration (MBA),113,71,42,0
2018,Business,Business Administration (MBA),1,1,0,0
2018,Business,Business Administration (MBA),1,1,0,0
2018,Business,Business Administration (MBA),1592,1059,528,5
2018,Business,Business Administration (MBA),210,163,46,1
2018,Business,Business Administration (MBA),8,3,5,0
2018,Business,Business Process Management,3,1,2,0
2018,Business,Business Process Management,14,11,3,0
2018,Business,Curric Unassigned,1021,575,445,1
2018,Business,Finance,630,450,180,0
2018,Business,Finance,239,109,130,0
2018,Business,Finance,18,13,5,0
2018,Business,Information Sys & Info Tech,46,30,16,0
2018,Business,Information Sys & Info Tech,57,27,30,0
2018,Business,Information Systems,22,12,9,1
2018,Business,Information Systems,3,2,1,0
2018,Business,Management,23,16,7,0
2018,Business,Management,5,3,2,0
2018,Business,Management,11,3,8,0
2018,Business,Management,7,2,5,0
2018,Business,Management,33,16,17,0
2018,Business,Management,13,6,7,0
2018,Business,Management,15,6,9,0
2018,Business,Marketing,106,30,76,0
2018,Business,Marketing,134,44,90,0
2018,Business,Nondegree,97,50,47,0
2018,Business,Operations Management,6,3,3,0
2018,Business,Operations Management,5,3,2,0
2018,Business,Supply Chain Management,15,7,8,0
2018,Business,Supply Chain Management,70,25,45,0
2018,Business,Technology Management,59,34,25,0
2018,Business,Technology Management,3,2,1,0
2018,Business,Technology Management,7,4,3,0
2018,Business,Technology Management,9,3,6,0
2018,DGS,Pre-Engineering,488,394,94,0
2018,DGS,Undeclared,2474,1352,1121,1
2018,Education,Curriculum and Instruction,1,0,1,0
2018,Education,Curriculum and Instruction,2,0,2,0
2018,Education,Curriculum and Instruction,20,2,18,0
2018,Education,Curriculum and Instruction,5,0,5,0
2018,Education,Curriculum and Instruction,4,1,3,0
2018,Education,Curriculum and Instruction,46,14,32,0
2018,Education,Curriculum and Instruction,1,0,1,0
2018,Education,Early Childhood Education,37,2,35,0
2018,Education,Early Childhood Education,2,0,2,0
2018,Education,Early Childhood Education,1,0,1,0
2018,Education,Early Childhood Education,1,0,1,0
2018,Education,Early Childhood Education,3,0,3,0
2018,Education,Early Childhood Education,2,0,2,0
2018,Education,Early Childhood Education,1,0,1,0
2018,Education,Early Childhood Education,3,0,3,0
2018,Education,Early Childhood Education,6,0,6,0
2018,Education,Ed Organization and Leadership,2,2,0,0
2018,Education,Ed Organization and Leadership,9,5,4,0
2018,Education,Ed Organization and Leadership,2,0,2,0
2018,Education,Ed Organization and Leadership,1,1,0,0
2018,Education,Ed Organization and Leadership,3,1,2,0
2018,Education,Ed Organization and Leadership,4,0,4,0
2018,Education,Ed Organization and Leadership,1,1,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",5,2,3,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",6,2,4,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,1,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",7,4,3,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",22,11,11,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",14,6,8,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",24,13,10,1
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,1,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",61,27,34,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,1,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",29,10,19,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",80,23,57,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",3,2,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",19,5,14,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",39,9,30,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",6,2,4,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",35,8,27,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",3,0,3,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",16,3,13,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",19,6,13,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",3,1,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",24,6,18,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",20,10,10,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",26,3,23,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",20,1,19,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",12,3,9,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",63,13,49,1
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,1,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,1,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",4,0,4,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",38,15,23,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",11,3,8,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",23,11,12,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",3,3,0,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",15,2,13,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",3,2,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",12,5,7,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",7,0,7,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",2,1,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",1,0,1,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",5,2,3,0
2018,Education,Education Curriculum Uassign,22,4,18,0
2018,Education,Educational Policy Studies,1,1,0,0
2018,Education,Educational Policy Studies,38,16,22,0
2018,Education,Educational Policy Studies,1,1,0,0
2018,Education,Educational Policy Studies,1,0,1,0
2018,Education,Educational Psychology,5,0,5,0
2018,Education,Educational Psychology,46,14,32,0
2018,Education,Elementary Education,294,20,274,0
2018,Education,Elementary Education,8,3,5,0
2018,Education,Accountancy,817,386,431,0
2018,Education,Accountancy,207,102,105,0
2018,Education,Accountancy,173,30,143,0
2018,Education,Accountancy,173,103,70,0
2018,Education,Accountancy,40,22,18,0
2018,Education,Accountancy,2,1,1,0
2018,Education,Accountancy,18,12,6,0
2018,Education,ACES Undeclared,55,26,29,0
2018,Education,Actuarial Science,303,186,117,0
2018,Education,Actuarial Science,59,23,36,0
2018,Education,Actuarial Science,36,22,14,0
2018,Education,Advertising,626,202,424,0
2018,Education,Advertising,19,5,14,0
2018,Education,African American Studies,19,5,14,0
2018,Education,African American Studies,1,1,0,0
2018,Education,Anthropology,43,19,24,0
2018,Education,Anthropology,2,1,1,0
2018,Education,Anthropology,2,0,2,0
2018,Education,Anthropology,4,2,2,0
2018,Education,Anthropology,6,3,3,0
2018,Education,Anthropology,1,1,0,0
2018,Education,Anthropology,11,3,8,0
2018,Education,Anthropology,1,0,1,0
2018,Education,Anthropology,25,5,20,0
2018,Education,Anthropology,57,16,41,0
2018,Education,Applied Mathematics,13,8,5,0
2018,Education,Human Resource Education,1,1,0,0
2018,Education,Human Resource Education,7,4,3,0
2018,Education,Human Resource Education,11,4,7,0
2018,Education,Learning and Education Studies,11,4,7,0
2018,Education,Learning and Education Studies,2,0,2,0
2018,Education,Learning and Education Studies,12,0,12,0
2018,Education,Learning and Education Studies,12,5,7,0
2018,Education,Learning and Education Studies,11,5,6,0
2018,Education,Middle Grades Education,26,6,20,0
2018,Education,Middle Grades Education,13,3,10,0
2018,Education,Middle Grades Education,35,10,25,0
2018,Education,Middle Grades Education,4,0,4,0
2018,Education,Middle Grades Education,4,1,3,0
2018,Education,Nondegree,5,1,4,0
2018,Education,Secondary Education,1,1,0,0
2018,Education,Secondary Education,4,1,3,0
2018,Education,Secondary Education,6,5,1,0
2018,Education,Secondary Education,7,4,3,0
2018,Education,Secondary Education,2,2,0,0
2018,Education,Special Education,107,14,92,1
2018,Education,Special Education,11,1,10,0
2018,Education,Special Education,15,0,15,0
2018,Education,Special Education,1,0,1,0
2018,Education,Special Education,26,4,22,0
2018,Engineering,Aerospace Engineering,519,440,79,0
2018,Engineering,Aerospace Engineering,70,58,12,0
2018,Engineering,Aerospace Engineering,25,20,5,0
2018,Engineering,Aerospace Engineering,2,2,0,0
2018,Engineering,Aerospace Engineering,1,1,0,0
2018,Engineering,Aerospace Engineering,66,57,9,0
2018,Engineering,Aerospace Engineering,3,3,0,0
2018,Engineering,Agricultural & Biological Engr,52,30,22,0
2018,Engineering,Agricultural & Biological Engr,11,8,3,0
2018,Engineering,Agricultural & Biological Engr,17,10,7,0
2018,Engineering,Agricultural & Biological Engr,25,20,5,0
2018,Engineering,Agricultural & Biological Engr,31,16,15,0
2018,Engineering,Agricultural & Biological Engr,5,4,1,0
2018,Engineering,Bioengineering,266,129,137,0
2018,Engineering,Bioengineering,20,11,9,0
2018,Engineering,Bioengineering,1,0,1,0
2018,Engineering,Bioengineering,8,6,2,0
2018,Engineering,Bioengineering,5,2,3,0
2018,Engineering,Bioengineering,80,46,34,0
2018,Engineering,Bioengineering,2,0,2,0
2018,Engineering,Bioengineering,1,0,1,0
2018,Engineering,Bioinformatics,6,4,2,0
2018,Engineering,Civil Engineering,671,487,184,0
2018,Engineering,Civil Engineering,303,219,84,0
2018,Engineering,Civil Engineering,46,33,13,0
2018,Engineering,Civil Engineering,3,2,1,0
2018,Engineering,Civil Engineering,179,142,37,0
2018,Engineering,Civil Engineering,23,18,5,0
2018,Engineering,Computer Engineering,1184,1032,152,0
2018,Engineering,Computer Science,1012,709,302,1
2018,Engineering,Computer Science,42,33,9,0
2018,Engineering,Computer Science,116,87,29,0
2018,Engineering,Computer Science,33,30,3,0
2018,Engineering,Computer Science,586,478,107,1
2018,Engineering,Computer Science,43,37,6,0
2018,Engineering,Computer Science,124,92,32,0
2018,Engineering,Computer Science,8,7,1,0
2018,Engineering,Computer Science,9,7,2,0
2018,Engineering,Computer Science,345,277,68,0
2018,Engineering,Electrical & Computer Engr,89,69,20,0
2018,Engineering,Electrical & Computer Engr,40,37,3,0
2018,Engineering,Electrical & Computer Engr,274,225,49,0
2018,Engineering,Electrical & Computer Engr,1,1,0,0
2018,Engineering,Electrical & Computer Engr,251,211,40,0
2018,Engineering,Electrical & Computer Engr,2,2,0,0
2018,Engineering,Electrical Engineering,913,786,127,0
2018,Engineering,Engineering,30,23,7,0
2018,Engineering,Engineering,3,1,2,0
2018,Engineering,Engineering,1,1,0,0
2018,Engineering,Engineering Mechanics,112,96,16,0
2018,Engineering,Engineering Physics,275,228,47,0
2018,Engineering,Engineering Undeclared,151,94,57,0
2018,Engineering,Environ Engr in Civil Engr,58,31,27,0
2018,Engineering,Environ Engr in Civil Engr,3,1,2,0
2018,Engineering,Environ Engr in Civil Engr,36,22,14,0
2018,Engineering,Environ Engr in Civil Engr,2,1,1,0
2018,Engineering,Financial Engineering,126,88,38,0
2018,Engineering,Financial Engineering,1,1,0,0
2018,Engineering,Industrial Engineering,271,202,69,0
2018,Engineering,Industrial Engineering,33,20,13,0
2018,Engineering,Industrial Engineering,1,0,1,0
2018,Engineering,Industrial Engineering,17,11,6,0
2018,Engineering,Industrial Engineering,45,29,16,0
2018,Engineering,Materials Science & Engr,249,175,74,0
2018,Engineering,Materials Science & Engr,7,6,1,0
2018,Engineering,Materials Science & Engr,20,18,2,0
2018,Engineering,Materials Science & Engr,14,6,8,0
2018,Engineering,Materials Science & Engr,14,10,4,0
2018,Engineering,Materials Science & Engr,21,18,3,0
2018,Engineering,Materials Science & Engr,28,20,8,0
2018,Engineering,Materials Science & Engr,149,102,47,0
2018,Engineering,Materials Science & Engr,2,2,0,0
2018,Engineering,Mechanical Engineering,860,671,189,0
2018,Engineering,Mechanical Engineering,36,31,5,0
2018,Engineering,Mechanical Engineering,22,22,0,0
2018,Engineering,Mechanical Engineering,111,91,20,0
2018,Engineering,Mechanical Engineering,8,8,0,0
2018,Engineering,Mechanical Engineering,3,3,0,0
2018,Engineering,Mechanical Engineering,237,204,33,0
2018,Engineering,Mechanical Engineering,8,7,1,0
2018,Engineering,Nondegree,181,132,49,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",47,45,2,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",44,35,9,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",22,17,5,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",10,8,2,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",33,29,4,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",2,2,0,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",55,51,4,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",5,3,2,0
2018,Engineering,Physics,2,1,1,0
2018,Engineering,Physics,283,206,77,0
2018,Engineering,Physics,5,4,1,0
2018,Engineering,Systems & Entrepreneurial Engr,4,4,0,0
2018,Engineering,Systems & Entrepreneurial Engr,18,18,0,0
2018,Engineering,Systems Engineering and Design,249,180,68,1
2018,Engineering,Theoretical & Applied Mechans,4,3,1,0
2018,Engineering,Theoretical & Applied Mechans,27,22,5,0
2018,Engineering,Theoretical & Applied Mechans,5,4,1,0
2018,Fine and Applied Arts,Architectural Studies,6,3,3,0
2018,Fine and Applied Arts,Architectural Studies,410,246,164,0
2018,Fine and Applied Arts,Architectural Studies,2,2,0,0
2018,Fine and Applied Arts,Architecture,162,78,83,1
2018,Fine and Applied Arts,Architecture,23,10,13,0
2018,Fine and Applied Arts,Architecture,14,11,3,0
2018,Fine and Applied Arts,Art and Design,4,1,3,0
2018,Fine and Applied Arts,Art and Design,10,3,7,0
2018,Fine and Applied Arts,Art and Design,14,6,8,0
2018,Fine and Applied Arts,Art and Design,4,0,4,0
2018,Fine and Applied Arts,Art and Design,8,5,3,0
2018,Fine and Applied Arts,Art and Design,7,3,4,0
2018,Fine and Applied Arts,Art Education,36,2,34,0
2018,Fine and Applied Arts,Art Education,4,1,3,0
2018,Fine and Applied Arts,Art Education,6,0,6,0
2018,Fine and Applied Arts,Art Education,8,0,8,0
2018,Fine and Applied Arts,Art Foundation,15,3,12,0
2018,Fine and Applied Arts,Art History,1,1,0,0
2018,Fine and Applied Arts,Art History,13,1,12,0
2018,Fine and Applied Arts,Computer Science and Music,1,1,0,0
2018,Fine and Applied Arts,Crafts,1,0,1,0
2018,Fine and Applied Arts,Crafts,3,0,3,0
2018,Fine and Applied Arts,Dance,7,2,5,0
2018,Fine and Applied Arts,Dance,50,2,48,0
2018,Fine and Applied Arts,Dance,11,5,6,0
2018,Fine and Applied Arts,Graphic Design,185,58,127,0
2018,Fine and Applied Arts,History of Art,8,3,5,0
2018,Fine and Applied Arts,Industrial Design,201,99,102,0
2018,Fine and Applied Arts,Instrumental Music,77,30,47,0
2018,Fine and Applied Arts,Jazz Performance,31,25,6,0
2018,Fine and Applied Arts,Landscape Architecture,50,20,30,0
2018,Fine and Applied Arts,Landscape Architecture,44,6,38,0
2018,Fine and Applied Arts,Landscape Architecture,1,0,1,0
2018,Fine and Applied Arts,Landscape Architecture,13,6,7,0
2018,Fine and Applied Arts,Lyric Theatre,12,2,10,0
2018,Fine and Applied Arts,Music,7,1,6,0
2018,Fine and Applied Arts,Music,9,7,2,0
2018,Fine and Applied Arts,Music,115,43,72,0
2018,Fine and Applied Arts,Music,14,13,1,0
2018,Fine and Applied Arts,Music,3,1,2,0
2018,Fine and Applied Arts,Music,33,27,6,0
2018,Fine and Applied Arts,Music,3,2,1,0
2018,Fine and Applied Arts,Music,1,1,0,0
2018,Fine and Applied Arts,Music,54,32,22,0
2018,Fine and Applied Arts,Music,62,29,33,0
2018,Fine and Applied Arts,Music,4,3,1,0
2018,Fine and Applied Arts,Music,9,1,8,0
2018,Fine and Applied Arts,Music,3,1,2,0
2018,Fine and Applied Arts,Music,1,1,0,0
2018,Fine and Applied Arts,Music,3,2,1,0
2018,Fine and Applied Arts,Music,1,0,1,0
2018,Fine and Applied Arts,Music,16,14,2,0
2018,Fine and Applied Arts,Music Composition,10,10,0,0
2018,Fine and Applied Arts,Music Education,36,16,20,0
2018,Fine and Applied Arts,Music Education,20,4,16,0
2018,Fine and Applied Arts,Music Education,69,37,32,0
2018,Fine and Applied Arts,Music Education,7,2,5,0
2018,Fine and Applied Arts,Music Education,4,2,2,0
2018,Fine and Applied Arts,Music Education,1,1,0,0
2018,Fine and Applied Arts,Music Education,10,6,4,0
2018,Fine and Applied Arts,Music Education,5,4,1,0
2018,Fine and Applied Arts,Musicology,1,0,1,0
2018,Fine and Applied Arts,Musicology,17,11,6,0
2018,Fine and Applied Arts,Musicology,1,0,1,0
2018,Fine and Applied Arts,New Media,29,7,22,0
2018,Fine and Applied Arts,Nondegree,38,17,21,0
2018,Fine and Applied Arts,Open Studies,5,2,3,0
2018,Fine and Applied Arts,Painting,36,4,32,0
2018,Fine and Applied Arts,Photography,32,8,24,0
2018,Fine and Applied Arts,Regional Planning,16,10,6,0
2018,Fine and Applied Arts,Sculpture,3,2,1,0
2018,Fine and Applied Arts,Theatre,19,5,14,0
2018,Fine and Applied Arts,Theatre,19,5,14,0
2018,Fine and Applied Arts,Theatre,58,32,26,0
2018,Fine and Applied Arts,Theatre,1,0,1,0
2018,Fine and Applied Arts,Theatre,2,2,0,0
2018,Fine and Applied Arts,Theatre,10,7,2,1
2018,Fine and Applied Arts,Theatre,8,4,4,0
2018,Fine and Applied Arts,Theatre,3,1,2,0
2018,Fine and Applied Arts,Theatre,5,1,4,0
2018,Fine and Applied Arts,Theatre,43,15,28,0
2018,Fine and Applied Arts,Theatre,10,6,4,0
2018,Fine and Applied Arts,Theatre,16,5,11,0
2018,Fine and Applied Arts,Theatre,7,2,5,0
2018,Fine and Applied Arts,Urban Planning,52,25,27,0
2018,Fine and Applied Arts,Urban Planning,1,1,0,0
2018,Fine and Applied Arts,Urban Studies & Planning,25,17,8,0
2018,Fine and Applied Arts,Urban Studies & Planning,13,4,9,0
2018,Fine and Applied Arts,Urban Studies & Planning,35,27,8,0
2018,Fine and Applied Arts,Urban Studies & Planning,5,1,4,0
2018,Fine and Applied Arts,Urban Studies & Planning,2,0,2,0
2018,Fine and Applied Arts,Voice,25,8,17,0
2018,Graduate,Informatics,45,26,19,0
2018,Graduate,Nondegree,10,6,4,0
2018,Graduate,Nondegree,5,5,0,0
2018,iSchool,Bioinformatics,4,3,1,0
2018,iSchool,Information Management,262,126,136,0
2018,iSchool,Information Management,14,5,9,0
2018,iSchool,Library & Information Science,5,0,5,0
2018,iSchool,Library & Information Science,7,1,6,0
2018,iSchool,Library & Information Science,202,48,153,1
2018,iSchool,Library & Information Science,264,50,210,4
2018,iSchool,Library & Information Science,51,17,34,0
2018,Labor and Industrial Relations,Human Res & Industrial Rels,186,50,136,0
2018,Labor and Industrial Relations,Human Res & Industrial Rels,50,14,36,0
2018,Labor and Industrial Relations,Human Res & Industrial Rels,15,10,5,0
2018,LAS,African Studies,4,1,3,0
2018,LAS,Asian American Studies,3,2,1,0
2018,LAS,Astronomy,88,61,27,0
2018,LAS,Astronomy,1,0,1,0
2018,LAS,Astronomy,27,15,12,0
2018,LAS,Astronomy,3,2,1,0
2018,LAS,Atmospheric Sciences,70,44,26,0
2018,LAS,Atmospheric Sciences,1,0,1,0
2018,LAS,Atmospheric Sciences,12,8,4,0
2018,LAS,Atmospheric Sciences,32,23,9,0
2018,LAS,Atmospheric Sciences,2,2,0,0
2018,LAS,Biochemistry,169,84,85,0
2018,LAS,Biochemistry,1,0,1,0
2018,LAS,Biochemistry,1,1,0,0
2018,LAS,Biochemistry,71,39,32,0
2018,LAS,Biology,1,0,1,0
2018,LAS,Biology,3,2,1,0
2018,LAS,Biology,16,10,6,0
2018,LAS,Biology,2,1,1,0
2018,LAS,Biology,3,2,1,0
2018,LAS,Biology,695,265,430,0
2018,LAS,Biophysics & Computnl Biology,12,9,3,0
2018,LAS,Biophysics & Quant Biology,43,32,11,0
2018,LAS,Biophysics & Quant Biology,3,1,2,0
2018,LAS,Cell and Developmental Biology,31,13,18,0
2018,LAS,Chemical Engineering,643,430,211,2
2018,LAS,Chemical Engineering,10,9,1,0
2018,LAS,Chemical Engineering,1,0,1,0
2018,LAS,Chemical Engineering,95,60,35,0
2018,LAS,Chemical Engineering,7,3,4,0
2018,LAS,Chemical Physics,3,2,1,0
2018,LAS,Chemistry,233,136,97,0
2018,LAS,Chemistry,1,1,0,0
2018,LAS,Chemistry,264,126,138,0
2018,LAS,Chemistry,16,9,7,0
2018,LAS,Chemistry,3,3,0,0
2018,LAS,Chemistry,5,3,2,0
2018,LAS,Chemistry,276,174,102,0
2018,LAS,Classical Philology,10,7,3,0
2018,LAS,Classics,12,6,6,0
2018,LAS,Classics,1,0,1,0
2018,LAS,Classics,3,1,2,0
2018,LAS,Classics,1,0,1,0
2018,LAS,Communication,670,256,414,0
2018,LAS,Communication,27,9,18,0
2018,LAS,Communication,6,2,4,0
